Authorization Number,Authorization Type,Company,Issue Date,Expiry Date,Waste Type,State,Primary BCENICID,Secondary BCENICID,CPIX,Risk Level,WDR Regulation,WDR Schedule One or Two,Regional Case Manager,Office,Administrative Area,Regional District,Region,Nearest Municipality,Facility Type - Description,Facility Address,Facility Operator,Facility Operator Phone,Facility Operator Email,Latitude,Longitude,Legal Land Description,Mailing Address
109099,Petroleum Storage and Distribution Facilities Storm Water Regulation,AURICO METALS INC. ,9/8/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Thornton, Kimberley",Victoria, ,Peace River ,Victoria Authorizations Team,Smithers,"  The petroleum storage facility is part of a proposed Project is an underground gold-copper mine which is designated to process an average of approximately 25,000 tonnes per day of one over a 13 year Operations phase","The Kermess Underground Mine is located - 250 km north of Smithers. The closest communities to the Project by air are Kwadacha (Fort Ware: 79 km), Tsa",Harold Bent,7855,harold.bent@auricometals.ca,56.994711,126.756095,Unsurveyed Provincial Crown Land in the Vicinity of Kemess Lake (part of Mining Lease 354991),"1076 Main Street Suite 2, PO Box 3519, Smithers BC V0J 2N0"
109101,Permit,TOWNLINE FARMS LTD. ,11/26/2020,,Effluent,Active,311000  Food  - Manufacturing/Processing,  ,L,,Schedule 2,Fruit and Vegetable Processing Industry,"Terry, Linden ",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Surrey,New small facility to process tomatoes into sauces  New small facility to process tomatoes into sauces,"15087 48 Ave, Surrey BC  V3S 0L2",Naresh Sachdev,(604) 720-4627,sachdev.nick@gmail.com,49.052993,122.4810516,"Lot 2, Sec 3, TWP 2, NWD Plan 5697","407 - 8148 128 St, Surrey BC  V3W 1R1"
109102,Permit,CONA RESOURCES LTD. ,3/19/2018,,Air,Active,211110  Oil & Gas - Processing Plants,  ,M,,N/A,,"Demoulin, Marla",Fort St. John (OGC),Oil & Gas/LNG Operations,Peace River ,Oil & Gas Commission,Fort St. John (OGC),Groundbirch 6-19-80-20 Gas Plant  Groundbirch 6-19-80-20,"LSD 6-19-80-20 W6M, 36km Southwest of Fort St. John",Cona Resources Ltd. ,(403) 269-5078,karen.stinn@conaresources.com,55.9449,121.1255,"LSD 6-19-80-20 W6M, 36km Southwest of Fort St. John","1900-421 7 Avenue, Calgary AB  T2P4K9"
109102,Permit,CONA RESOURCES LTD. ,3/19/2018,,Effluent,Active,211110  Oil & Gas - Processing Plants,  ,M,,N/A,,"Demoulin, Marla",Fort St. John (OGC),Oil & Gas/LNG Operations,Peace River ,Oil & Gas Commission,Fort St. John (OGC),Groundbirch 6-19-80-20 Gas Plant  Groundbirch 6-19-80-20,"LSD 6-19-80-20 W6M, 36km Southwest of Fort St. John",Cona Resources Ltd. ,(403) 269-5078,karen.stinn@conaresources.com,55.9449,121.1255,"LSD 6-19-80-20 W6M, 36km Southwest of Fort St. John","1900-421 7 Avenue, Calgary AB  T2P4K9"
109106,Organic Matter Recycling Regulation,EVANSDALE FARMS LTD. ,9/15/2017,,,Active,569999  Waste Treatment - Composting,569990  Waste Treatment - Land Application of Solids,L,,Schedule 2,Soil Enhancement Using WastesCode of Practice for Soil Amendments,"Vergamini, Don",Nanaimo,Southern Interior,Comox Valley,Authorizations - South Region,Courtenay,  Farmland,"3080 Macaulay Rd, Black Creek BC",Not provided,,,49.8699,125.1831,"Lot 1 Sections 21 and 22 Township 4 and of Block 29, Comox District Plan EPP23099","201-467 Cumberland  Road, Courtenay BC  V9N 2C5"
109108,Land-Based Finfish Waste Control Regulation,GRAND HALE MARINE PRODUCTS COMPANY LIMITED ,9/18/2017,,,Active,112500  Aquaculture - Land Based,  ,L,,Schedule 2,Fish Products Industry,"Holms, Bruce",Victoria, ,North Coast ,Victoria Authorizations Team,Port Edward,"  land based aquaculture of shrimp, includes nursery and growout enclosed in a federally registered seafood processing facility","293/295 Bay View Dr, Port Edward BC  V0V 1G0",Grand Hale Marine Products Co. Ltd.,9393,john@grandhale.com,54.22877,130.29384,,"11551 Twigg Place, Richmond BC  V6V 2Y2"
109109,Organic Matter Recycling Regulation,WESTVIEW DAIRY FARMS LTD. ,9/20/2017,,,Active,569999  Waste Treatment - Composting,569990  Waste Treatment - Land Application of Solids,L,,Schedule 2,Soil Enhancement Using WastesCode of Practice for Soil Amendments,"Vergamini, Don",Nanaimo,Southern Interior,Fraser Valley ,Authorizations - South Region,Abbotsford,  ,"4506 Glenmore Rd, Abbotsford BC  V4X 1X6",not provided,,,49.0845,122.3342,"Lot 8, Plan NWP 03829 NWD District Lot 402 Group 2","32321 Townshipline Rd, Abbotsford BC  V4X 1W5"
109111,Code of Practice for Soil Amendments,WEST FRASER MILLS LTD. QUESNEL RIVER PULP COMPANY,10/5/2017,10/4/2018,,Expired,569999  Waste Treatment - Composting,  ,L,,Schedule 2,Soil Enhancement Using WastesCode of Practice for Soil Amendments,"Holms, Bruce",Victoria, ,Cariboo,Authorizations - North Region,Fraser Lake,  ,"15900 Naver Creek Road, Hixon BC V0K 1S1",Margot Gagne,8919,margot.gagne@westfraser.com,53.292792,122.489838,"Parts of District Lots: 3201, 3202, 3203, 3204","1000 Finning Road, Quesnel BC  V2J 6A1"
109112,Permit,NET ZERO WASTE ABBOTSFORD INC. ,11/6/2020,,Air,Active,569999  Waste Treatment - Composting,569999  Waste Treatment - Composting,L,,Schedule 2,Composting Operations,"Kingsley, Magda",Kamloops,Southern Interior,Fraser Valley ,Authorizations - South Region,Abbotsford,"Compost facility  Net Zero Waste Abbotsford has been improving the agricultural productivity of the 5050 Gladwin Road Farm site since 2013. While the primary feedstock processed is residential curbside food and yard waste, the facility also receives and recycles a significant amount of agricultural waste and some commercial organic waste. As no bio-solids, sewage sludge or manure is accepted at the facility, the production of high quality ""certified organic"" compost is possible. Our compost has been extensively utilized in the improved productivity of regional agricultural activity and has demonstrated significantly improved yields across a range of crops. _x000D_
_x000D_
Phase I Construction 2013 - 2017 has a design capacity of 20,000 TPA. Phase II (underway) will provide a design capacity of 40,000 TPA with future Phase III expansion potential to 60,000 TPA (reference file ""NZWA - Site Plan_20170906"")._x000D_
Each 1,000 Tonnes processed produces around 900 yards of compost which weighs approx. 400kg/yard and has a moisture content of 40% resulting in 220 dry tonnes_x000D_
_x000D_
We are proud to boast a track record with zero (0) odour complaints since opening. Net Zero Waste Abbotsford Inc. has been operating since 2013 and utilizes the Gore Cover System which is classified as an in-vessel composting system by regulatory authorities and provides the following features: _x000D_
-Repels external water & moisture with the use of a GORE-TEX membrane trap_x000D_
-Contains humidity and odours while allowing CO2 to be exhausted_x000D_
-Retains Heat while optimizing biological activity ","5050 Gladwin Road, Abbotsford BC  V4X 1X8",Mateo Ocejo,(604) 557-7065,mateo@netzerowaste.com,49.09335,122.312937,LT 12 SEC 4 TWP 17 PL NEW P0649A NWD,"5050 Gladwin Road, Abbotsford BC  V4X 1X8"
109112,Permit,NET ZERO WASTE ABBOTSFORD INC. ,11/6/2020,,Effluent,Active,569999  Waste Treatment - Composting,569999  Waste Treatment - Composting,L,,Schedule 2,Composting Operations,"Kingsley, Magda",Kamloops,Southern Interior,Fraser Valley ,Authorizations - South Region,Abbotsford,"Compost facility  Net Zero Waste Abbotsford has been improving the agricultural productivity of the 5050 Gladwin Road Farm site since 2013. While the primary feedstock processed is residential curbside food and yard waste, the facility also receives and recycles a significant amount of agricultural waste and some commercial organic waste. As no bio-solids, sewage sludge or manure is accepted at the facility, the production of high quality ""certified organic"" compost is possible. Our compost has been extensively utilized in the improved productivity of regional agricultural activity and has demonstrated significantly improved yields across a range of crops. _x000D_
_x000D_
Phase I Construction 2013 - 2017 has a design capacity of 20,000 TPA. Phase II (underway) will provide a design capacity of 40,000 TPA with future Phase III expansion potential to 60,000 TPA (reference file ""NZWA - Site Plan_20170906"")._x000D_
Each 1,000 Tonnes processed produces around 900 yards of compost which weighs approx. 400kg/yard and has a moisture content of 40% resulting in 220 dry tonnes_x000D_
_x000D_
We are proud to boast a track record with zero (0) odour complaints since opening. Net Zero Waste Abbotsford Inc. has been operating since 2013 and utilizes the Gore Cover System which is classified as an in-vessel composting system by regulatory authorities and provides the following features: _x000D_
-Repels external water & moisture with the use of a GORE-TEX membrane trap_x000D_
-Contains humidity and odours while allowing CO2 to be exhausted_x000D_
-Retains Heat while optimizing biological activity ","5050 Gladwin Road, Abbotsford BC  V4X 1X8",Mateo Ocejo,(604) 557-7065,mateo@netzerowaste.com,49.09335,122.312937,LT 12 SEC 4 TWP 17 PL NEW P0649A NWD,"5050 Gladwin Road, Abbotsford BC  V4X 1X8"
109115,Code of Practice for Soil Amendments,TOPHAY LEO FARMS LTD. ,10/31/2017,10/30/2018,,Expired,569999  Waste Treatment - Composting,  ,L,,Schedule 2,Soil Enhancement Using WastesCode of Practice for Soil Amendments,"Holms, Bruce",Victoria, ,Bulkley-Nechako,Authorizations - North Region,Fort St. James,"  Tophay Leo Farms Ltd., has expressed an interest in utilizing fly ash derived from the burning of clean wood for hayfield soil amendment. The fly ash utilized by the land owner will originate from the biomass fired electrical power generation facility located near Fort Saint James, British Columbia, operated by Fort St. James Green Energy Limited Partnership.","11km South of Fort St. Hames, BC along Ketch Road and Necoslie Road",Judd Wu,2755,judd@tophay.ca,54.366,124.214,Not provided,"PO Box 923, 3427 Carmen Hill Road West, Vanderhoof BC V0J 3A0"
109120,Permit,OVINTIV CANADA ULC ,11/30/2017,,Air,Active,211110  Oil & Gas - Processing Plants,  ,L,,N/A,,"Demoulin, Marla",Fort St. John (OGC),Oil & Gas/LNG Operations,Peace River ,Oil & Gas Commission,Fort St. John (OGC),Gas Plant  Saturn 15-27-79-17,Saturn 15-27-79-17,Ovintiv Canada ULC,(403) 645-2000,,55.880521,120.562122,Saturn 15-27-79-17,"PO BOX 2850, Calgary AB  T2P2S5"
109120,Permit,OVINTIV CANADA ULC ,11/30/2017,,Effluent,Active,211110  Oil & Gas - Processing Plants,  ,L,,N/A,,"Demoulin, Marla",Fort St. John (OGC),Oil & Gas/LNG Operations,Peace River ,Oil & Gas Commission,Fort St. John (OGC),Gas Plant  Saturn 15-27-79-17,Saturn 15-27-79-17,Ovintiv Canada ULC,(403) 645-2000,,55.880521,120.562122,Saturn 15-27-79-17,"PO BOX 2850, Calgary AB  T2P2S5"
109121,Permit,OVINTIV CANADA ULC ,12/4/2017,,Air,Active,211110  Oil & Gas - Processing Plants,  ,L,,N/A,,"Demoulin, Marla",Fort St. John (OGC),Oil & Gas/LNG Operations,Peace River ,Oil & Gas Commission,Fort St. John (OGC),Gas Plant  Tower Lake 3-7-81-17,Tower Lake 3-7-81-17,Ovintiv Canada ULC,(403) 645-2000,,56.001168,120.657047,Tower Lake 3-7-81-17,"PO BOX 2850, Calgary AB  T2P2S5"
109121,Permit,OVINTIV CANADA ULC ,12/4/2017,,Effluent,Active,211110  Oil & Gas - Processing Plants,  ,L,,N/A,,"Demoulin, Marla",Fort St. John (OGC),Oil & Gas/LNG Operations,Peace River ,Oil & Gas Commission,Fort St. John (OGC),Gas Plant  Tower Lake 3-7-81-17,Tower Lake 3-7-81-17,Ovintiv Canada ULC,(403) 645-2000,,56.001168,120.657047,Tower Lake 3-7-81-17,"PO BOX 2850, Calgary AB  T2P2S5"
109123,Petroleum Storage and Distribution Facilities Storm Water Regulation,DAWSON CO-OPERATIVE UNION ,10/6/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Holms, Bruce",Victoria, ,Peace River ,Authorizations - North Region,Tumbler Ridge,"  Card Lock retail facility customers are pre approved for credit to purchase fuel 24 hrs a day, fuels available are Diesel coloured and clear Gasoline coloured and clear. Our storage is 4-90,000lt horizontal tanks surrounded by an engineered and concrete dyke. _x000D_
Both the fuel transfer pad and the dispenser pads are connected to an oil water separator. ",2km East on the Heritage Hwy from Tumbler Ridge,Dean Good,4858,d.good@dawsonco-op.com,55.1115,120.9702,Heritage Hwy Lot: Block A D:L: 3164 Plan: 4132,"110-10200 8th St, Dawson Creek BC  V1G 3P8"
109128,Code of Practice for Concrete and Concrete Products,MAGNUM CONCRETE INC. ,12/1/2017,,,Active,327300  Manufacturing - Cement & Concrete,  ,L,,Schedule 2,Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry,"Holms, Bruce",Surrey, ,Fraser Valley ,Authorizations - South Region,Abbotsford,  Production of Ready Mix Concrete,"1563 Ross Road, Abbotsford BC  V4W 2W5,  ",Arvid Rabel,3303,arvid@magnumconcrete.com,49.030935,122.410305,Lt 3 Sec 10 TWP13 PLBCP 45312 NWD,"#201 - 26162 - 30A Avenue, Aldergrove BC V4W 2W5"
109129,Organic Matter Recycling Regulation,ARROW TRANSPORTATION SYSTEMS INC. ,10/18/2017,,,Active,569999  Waste Treatment - Composting,569990  Waste Treatment - Land Application of Solids,L,,Schedule 2,Soil Enhancement Using WastesCode of Practice for Soil Amendments,"Vergamini, Don",Kamloops,Southern Interior,Metro Vancouver,Authorizations - South Region,Abbotsford,  Former gravel pit - reclamation,"1239 Ross Rd, Abbotsford BC  V4X 1B5",not provided,,,49.0256,122.4058,,"43915 Industrial Way, Chilliwack BC  V2R 3A4"
109137,Approval,1086359 B.C. LTD. ,11/3/2017,7/31/2018,Effluent,Expired,212200  Mining - Metal,  ,M,,Schedule 1,Mining and Coal Mining Industry,"Gulbaek-Pearce, Tomesine",Nelson,Mining Operations,Kootenay Boundary,Authorizations - South Region,Grand Forks,"Mill and concentrator facility  The Greenwood Mill (or Zip Mill) and concentrator facility is currently under care and maintenance.  The crushing, grinding and flotation based mill has a rated through-put of 200 tonnes per day.  The Greenwood Mill (or Zip Mill) was operated for eight (8) months prior to operations being suspended at the end of 2008.  The tailings storage facility currently houses a supernatant elevation of approximately 1185.6 m above sea level and a maximum wetted depth of 4.05 m.  When in operation, the processing facility incorporates conventional mineral processing to produce a gold gravity concentrate, and a copper-gold flotation concentrate.  _x000D_
_x000D_
While the facility has been under care and maintenance, the 40 mil linear low density polyethylene (LLDPE) geomembrane liner within the tailing storage facility was damaged during submersible pump removal.  The purpose of the request for approval is to partially drain the tailing storage facility in order to repair the liner.  Access to the tears in the liner shall require the removal of approximately 6,500 cu. m of supernatant, or 2.0 m depth.  Supernatant effluent shall be discharged over the east abutment, towards the northeastern corner of the tailings storage facility in a northerly direction approximately 200 m. The distance overland from the discharge to the closest surface water feature; Snowshoe Creek is approximately 200m. Water to be discharged has been determined to be of adequate quality based on recent analytical results.  A 30 m long PVC spreader bar shall be used to discharge the supernatant effluent to the ground.  This shall serve to renovate the water prior to meeting with the tributary system.  ","8 km east of the City of Greenwood, BC west of Grand Forks, BC access off highway #3 onto Phoenix Road and then by Snowshoe Main to the site.",Matthew Ball,(604) 710-6009,dmattball@yahoo.ca,49.086271,118.56723,"Claim or Lease Name(s):  Zip 5, Zip 6, Zip 7, Zip 8_x000D_
Tenure Number(s): 395614, 395615, 395616, 395617_x000D_
Lot: 2701 (portion of)","SUITE 318 - 1199 W PENDER ST., VANCOUVER BC V6E 2R1"
109139,Municipal Wastewater Regulation,1127921 B.C. LTD. ,11/2/2020,,Effluent,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,H,,Schedule 1,Municipal Sewage Management,"Pape, Jennifer",Nanaimo,Southern Interior,Nanaimo ,Authorizations - South Region,Campbell River,"  Menzies Bay is a residential community being constructed near Campbell River. The community is utilizing its own Sewage Treatment Plant to service the community controlled by a utility co-operative._x000D_
_x000D_
The primary activity of the Sewage Treatment Plant is to treat effluent created by the residential community for safe discharge to the ocean outfall._x000D_
_x000D_
Please refer to the attached summary report for a complete description of the site and sewage Treatment particulars._x000D_
_x000D_
The security requirement is met by an approved MWR 31 assurance plan.  The $385k security submitted is only PART of the assurance [plan.",No civic address at this time (~8km north of Campbell River) - Refer to attached location Figure,Teresa Souliere,6302,tsouliere@aquatera.ca,50.1069,125.3462,Lot 1 Plan VIP71671 District Lot 29 Land District 51 Except Plan VIP74790 & EXC PL VIP75186,"2204, 433 11th Avenue SE, Calgary AB  T2G 0C7"
109140,Petroleum Storage and Distribution Facilities Storm Water Regulation,CHETWYND PETROLEUMS LTD. ,10/25/2017,,,Active,412110  Storage - Fuel,  ,L,,Schedule 2,Petroleum Storage,"Holms, Bruce",Victoria, ,Peace River ,Victoria Authorizations Team,Chetwynd,"  Bulk Fuel Distributor, Delivery and Cardlock","4900 50th Street, Chetwynd BC V0C 1J0",Matthew Dalke,2288,chetpete@pris.ca,55.699,121.6287,"DL# 1902 Peace River District, Except Plan 9370","Box 6, Chetwynd BC V0C 1J0"
109144,Approval,Douglas McIntosh - DBA  ,11/20/2017,3/31/2018,Air,Expired,113311  Forest Sector - Logging,  ,L,,N/A,,"Lamb-Yorski, Matthew",Williams Lake,Northern,Cariboo,Authorizations - North Region,Williams Lake,"Logging on Crown Land  Logging on Crown Land of 3/2 1000 m3 of Fir Barn Beetle infested Douglas Fir. Logs will be skidded to 400 m to the landing on my property. remaining branches will be chipped at landing by myself and residue loss will be where practice, recovered as fire wood. Residual will be burned in small piles over the course of logging which ends March 31, 2018. Estimated remaining volume after chipping/salvage is 20 mt3.","1096 Chimney Valley Road, Williams Lake BC  V2G 4W5",Douglas McIntosh,(250) 392-6890,dpmcintosh@xplornet.ca,52.060676,122.165625,"Lot 10 Plan PGP 20824, District Lot 7573, Cariboo Land District and Portion Sec 26, TWP 47","1096 Chimney Valley Road, Williams Lake BC V2G 4W5"
109146,Code of Practice for Concrete and Concrete Products,INTEROUTE CONSTRUCTION LTD. SKANDIA CONCRETE,12/14/2017,,,Cancelled,327300  Manufacturing - Cement & Concrete,  ,L,,Schedule 2,Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry,"Holms, Bruce",Cranbrook, ,East Kootenay ,Authorizations - South Region,Invermere,  Concrete Manufacturing Plant,"1753 Highway 93 & 95, Windermere BC V0B 2L0",Orlando Dias,8510,"orlando.dias@valleyblacktop.ca; RANTA, Lisa (CVTCL) <lisa.ranta@selkirkpaving.com>",50.4618,115.9701,Lot B / Section 011.512.920 / Plan 17927,"1753 HWY 93 & 95, Invermere BC V0A 1K0"
